atom_fdim,bond_fdim,global_fdim,shared_encoder,n_components,atom_messages,depth,hidden_dim,dropout,activation,bias,booster,comm_mode,aggregator,use_batch_norm,dynamic_depth,use_atom_residual,use_bond_residual,projection_config,prediction_type,ffn_groups,output_size,scaled_output,plot_lr,optimizer_class,optimizer_params,learning_rate,target_normalizer,cont_indices,per_indices,metrics,ignore_value,focus_target_idx,ffn_config,hybrid_t0,mixedmae_t0,mixedrmse_t0,mixedexplainedvariance_t0,mixedr2_t0,hybrid_t1,mixedmae_t1,mixedrmse_t1,mixedexplainedvariance_t1,mixedr2_t1,hybrid_t2,mixedmae_t2,mixedrmse_t2,mixedexplainedvariance_t2,mixedr2_t2,hybrid_t3,mixedmae_t3,mixedrmse_t3,mixedexplainedvariance_t3,mixedr2_t3,hybrid_t4,mixedmae_t4,mixedrmse_t4,mixedexplainedvariance_t4,mixedr2_t4,hybrid,mixedmae,mixedrmse,mixedexplainedvariance,mixedr2,logger_name,version,timestamp
137,151,0,False,2,False,3,1024,0.1,relu,False,sum,add,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x706b3010c0d0>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.058627039194107056,0.058627039194107056,0.08390767127275467,0.03835242986679077,0.026540100574493408,0.05110785737633705,0.05110785737633705,0.07272965461015701,-0.050736188888549805,-0.053186655044555664,3.52321457862854,3.52321457862854,4.918050289154053,0.004572272300720215,-0.006252884864807129,0.40604832768440247,0.40604832768440247,0.6372191905975342,0.048580050468444824,0.6739699840545654,0.42771947383880615,0.42771947383880615,0.6540026664733887,-0.0077707767486572266,0.647146999835968,0.893343448638916,0.7992911338806152,0.8830685615539551,0.008735490031540394,0.25764352083206177,multi_cmpnn,1,20250422_163740
137,151,0,False,2,False,3,1024,0.1,relu,False,sum,add,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x7b72c57e8b80>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.058628469705581665,0.058628469705581665,0.08452694863080978,0.03564709424972534,0.012117922306060791,0.051045436412096024,0.051045436412096024,0.0725511908531189,-0.04652738571166992,-0.04802429676055908,3.514573097229004,3.514573097229004,4.932039260864258,0.00537031888961792,-0.011985421180725098,0.40214207768440247,0.40214207768440247,0.6341467499732971,0.028555572032928467,0.6749709844589233,0.42953652143478394,0.42953652143478394,0.6553903818130493,-0.011908650398254395,0.6454157829284668,0.8911851048469543,0.7969692349433899,0.8817687630653381,0.004394447896629572,0.25449901819229126,multi_cmpnn,2,20250422_194701
144,158,0,False,2,False,3,1024,0.1,relu,False,sum,add,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x7b6e8de40a60>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07888731360435486,0.07888731360435486,0.11778245121240616,0.004256606101989746,-0.11622059345245361,0.06960833072662354,0.06960833072662354,0.09247816354036331,-0.01177525520324707,-0.09557461738586426,4.957447052001953,4.957447052001953,7.578624248504639,0.000635981559753418,-0.09686243534088135,0.38901451230049133,0.38901451230049133,0.6237102746963501,0.03415954113006592,0.6965256929397583,0.4288232624530792,0.4288232624530792,0.6548460125923157,-0.03587603569030762,0.634731650352478,1.1847561597824097,1.0921685695648193,1.0329347848892212,0.005767130758613348,0.20451994240283966,multi_cmpnn,17,20250422_230604
144,158,0,False,2,False,3,2048,0.1,relu,False,sum,add,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x7b6e8de40a60>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07868743687868118,0.07868743687868118,0.1173887625336647,0.0096932053565979,-0.10877108573913574,0.06914502382278442,0.06914502382278442,0.09198149293661118,-0.013020038604736328,-0.08383834362030029,4.963283538818359,4.963283538818359,7.619333744049072,-0.0006496906280517578,-0.10867798328399658,0.38907530903816223,0.38907530903816223,0.6237590312957764,0.05087310075759888,0.6986706852912903,0.4296545088291168,0.4296545088291168,0.6554803848266602,-0.027087926864624023,0.635102391242981,1.1859692335128784,1.09357750415802,1.033663034439087,0.01142510212957859,0.20649714767932892,multi_cmpnn,18,20250423_001614
144,158,0,False,2,False,3,2048,0.1,relu,False,sum,add,mean,True,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x7b6e8de40a60>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07865960150957108,0.07865960150957108,0.11707862466573715,0.004766881465911865,-0.1029200553894043,0.06904298067092896,0.06904298067092896,0.0916021466255188,-0.0023125410079956055,-0.07491695880889893,4.964298248291016,4.964298248291016,7.521514892578125,-0.0015788078308105469,-0.08039379119873047,0.3842191994190216,0.3842191994190216,0.6198541522026062,0.036007821559906006,0.6996786594390869,0.42605990171432495,0.42605990171432495,0.6527326703071594,-0.04275345802307129,0.6357258558273315,1.1844559907913208,1.0910931825637817,1.0324593782424927,0.006401360034942627,0.2154347449541092,multi_cmpnn,20,20250423_002731
144,158,0,False,2,False,3,2048,0.1,relu,True,sum,add,mean,True,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x775cc8577040>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07504989206790924,0.07504989206790924,0.11022412776947021,0.09475451707839966,0.022442877292633057,0.07198868691921234,0.07198868691921234,0.0979682058095932,-0.18997180461883545,-0.2295151948928833,4.98265266418457,4.98265266418457,7.625677585601807,0.012286603450775146,-0.11052489280700684,0.449800044298172,0.449800044298172,0.6706713438034058,0.0009183883666992188,0.6461248397827148,0.48322731256484985,0.48322731256484985,0.6951455473899841,0.1291484236717224,0.6149884462356567,1.2125437259674072,1.117709994316101,1.045299768447876,0.014844417572021484,0.18870322406291962,multi_cmpnn,21,20250423_103614
144,158,0,True,2,False,3,2048,0.1,relu,False,sum,add,mean,True,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x775cc8577040>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07676887512207031,0.07676887512207031,0.1127466931939125,0.06280994415283203,-0.02281355857849121,0.07326909899711609,0.07326909899711609,0.09785813093185425,-0.0705181360244751,-0.22675395011901855,4.9406633377075195,4.9406633377075195,7.597718238830566,0.014748930931091309,-0.10239624977111816,0.4361569285392761,0.4361569285392761,0.6604217886924744,0.04889512062072754,0.6644828915596008,0.4627092778682709,0.4627092778682709,0.6802273988723755,0.05716890096664429,0.6154367327690125,1.1979135274887085,1.1043827533721924,1.0386687517166138,0.029097843915224075,0.1855911761522293,multi_cmpnn,22,20250423_104317
144,158,0,True,2,False,3,2048,0.1,relu,False,sum,add,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x775cc8577040>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07828877121210098,0.07828877121210098,0.1166052594780922,0.025053322315216064,-0.09401965141296387,0.06903169304132462,0.06903169304132462,0.09342241287231445,-0.08603012561798096,-0.11806154251098633,4.981315612792969,4.981315612792969,7.630486011505127,0.002347290515899658,-0.11192584037780762,0.3920574486255646,0.3920574486255646,0.6261448860168457,0.057273149490356445,0.6972429752349854,0.41933852434158325,0.41933852434158325,0.6475635170936584,-0.015414595603942871,0.6445645093917847,1.1880064010620117,1.0948385000228882,1.0343303680419922,0.004003799054771662,0.20356009900569916,multi_cmpnn,23,20250423_105319
144,158,0,True,2,False,3,2048,0.1,relu,False,sum,mlp,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x775cc8577040>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07834978401660919,0.07834978401660919,0.11698739230632782,0.022349536418914795,-0.10120189189910889,0.06881733983755112,0.06881733983755112,0.09279982000589371,-0.062290310859680176,-0.10320913791656494,4.963438034057617,4.963438034057617,7.597398281097412,0.0010914802551269531,-0.10230350494384766,0.3793867528438568,0.3793867528438568,0.6159437894821167,0.038141071796417236,0.703013002872467,0.4352039396762848,0.4352039396762848,0.6596998572349548,0.01971489191055298,0.6377017498016357,1.1850392818450928,1.092515230178833,1.0332189798355103,0.010662210173904896,0.20680002868175507,multi_cmpnn,24,20250423_111335
144,158,0,True,2,False,3,2048,0.1,relu,False,attention,mlp,mean,False,uniform,True,True,,regression,"[[0, 1], [2], [3], [4]]",7,True,False,<class 'cmpnn.optimizer.noam.NoamLikeOptimizer'>,"{'init_lr': 0.0001, 'max_lr': 0.001, 'final_lr': 1e-05, 'warmup_steps': 1000, 'total_steps': 10000}",0.001,<cmpnn.standardisation.mix_target_normalizer.MixedTargetNormalizer object at 0x775cc8577040>,"[0, 1, 2]","[3, 4, 5, 6]","['Hybrid', 'MixedMAE', 'MixedRMSE', 'mixedexplainedvariance', 'mixedr2']",-10,,,0.07805860042572021,0.07805860042572021,0.11651462316513062,0.03276139497756958,-0.09231960773468018,0.06870438903570175,0.06870438903570175,0.0928296223282814,-0.06784069538116455,-0.10391783714294434,4.964582920074463,4.964582920074463,7.602238655090332,-0.00026786327362060547,-0.10370850563049316,0.39527201652526855,0.39527201652526855,0.6287066340446472,0.01914060115814209,0.6895846128463745,0.4414733648300171,0.4414733648300171,0.6644346117973328,0.05196136236190796,0.6377301216125488,1.1896182298660278,1.0969182252883911,1.0353763103485107,0.013548779301345348,0.20547376573085785,multi_cmpnn,25,20250423_112713
